iter	RMSE
0	0.0294694576
1	0.02632128215
2	0.02389228826
3	0.02117654208
4	0.01924908984
5	0.01772358014
6	0.01627188792
7	0.014865178
8	0.01375414652
9	0.01273507775
10	0.01179156049
11	0.01095748303
12	0.0102253046
13	0.009516183488
14	0.009031261497
15	0.008470839344
16	0.007958986775
17	0.00754012852
18	0.007060270487
19	0.006792283683
20	0.006499596203
21	0.006258912279
22	0.005990251107
23	0.005666589589
24	0.005392028843
25	0.005134243309
26	0.004912075819
27	0.004697208028
28	0.004559946429
29	0.004333878135
30	0.004205588716
31	0.004062938495
32	0.003938879104
33	0.003817126518
34	0.003707036941
35	0.003633883415
36	0.003544260713
37	0.003505469275
38	0.003386505936
39	0.003281193314
40	0.003225006086
41	0.003146965542
42	0.003093754442
43	0.003043628544
44	0.002941128545
45	0.00282636914
46	0.002742455959
47	0.002672407974
48	0.002646139328
49	0.00256514042
50	0.002479533306
51	0.002393128171
52	0.002373429535
53	0.002357219335
54	0.002302570393
55	0.002249092357
56	0.002182667836
57	0.002153321036
58	0.002082952384
59	0.002043228178
60	0.001980404299
61	0.001928713827
62	0.001885114768
63	0.001826533261
64	0.001777562993
65	0.001742477759
66	0.001721995723
67	0.001693045155
68	0.001650256247
69	0.001619882705
70	0.001567566417
71	0.001529595873
72	0.001502187597
73	0.001478584388
74	0.001450392894
75	0.001430458462
76	0.001402462771
77	0.001379532343
78	0.001346411349
79	0.001315963904
80	0.00127221238
81	0.001242516022
82	0.001235435755
83	0.001206754604
84	0.001186010801
85	0.001170510056
86	0.001145876678
87	0.001122501644
88	0.001097766501
89	0.001070846221
90	0.001045017503
91	0.001026838759
92	0.001011967269
93	0.000985281861
94	0.0009647560169
95	0.000945897216
96	0.0009206077001
97	0.0008995608047
98	0.0008767858558
99	0.0008540810883
